PAASE Experiment (PLA) - Dataset,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
item_no,print_date,start_time,end_time,specimen_id,replicate_no,infill_density_percent,infill_pattern,material_type,layer_height_mm,nozzle_temp_c,bed_temp_c,wall_count,top_layers,bottom_layers,print_time_slicer,print_time_actual,actual_specimen_mass_g,slicer_specimen_mass_g,energy_used_kwh,ultimate_stress_mpa,strain_percent,remarks
1,4/14/2026,15:04:53,15:14:15,PLA_10_R1,1,10,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:13,09:22,1.41,1.44,0.014,,,Nagbedlevel kaya matagal (randomly)
2,4/14/2026,15:15:57,15:23:30,PLA_10_R2,2,10,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:13,07:33,1.4,1.44,0.013,,,
3,4/14/2026,15:25:15,15:33:12,PLA_10_R3,3,10,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:13,07:57,1.4,1.44,0.013,,,
4,4/14/2026,15:34:26,15:42:32,PLA_10_R4,4,10,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:13,08:06,1.4,1.44,0.013,,,
5,4/14/2026,15:43:59,15:51:56,PLA_10_R5,5,10,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:13,07:57,1.41,1.44,0.013,,,
6,4/14/2026,16:47:31,16:55:32,PLA_20_R1,1,20,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:15,08:01,1.46,1.49,0.011,,,
7,4/14/2026,16:56:54,17:04:55,PLA_20_R2,2,20,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:15,08:01,1.46,1.49,0.012,,,
8,4/14/2026,17:06:30,17:14:31,PLA_20_R3,3,20,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:15,08:01,1.46,1.49,0.013,,,
9,4/14/2026,17:16:11,17:24:19,PLA_20_R4,4,20,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:15,08:08,1.47,1.49,0.012,,,
10,4/14/2026,17:27:02,17:35:03,PLA_20_R5,5,20,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:15,08:01,1.47,1.49,0.013,,,
11,4/15/2026,08:24:21,08:32:35,PLA_30_R1,1,30,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:16,08:14,1.51,1.52,0.013,,,
12,4/15/2026,08:37:41,08:45:43,PLA_30_R2,2,30,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:16,08:02,1.51,1.52,0.015,,,
13,4/15/2026,08:50:37,08:58:38,PLA_30_R3,3,30,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:16,08:01,1.51,1.52,0.015,,,
14,4/15/2026,09:24:03,09:33:49,PLA_30_R4,4,30,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:16,09:46,1.5,1.52,0.017,,,Nagbedlevel kaya matagal (randomly)
15,4/15/2026,09:37:46,09:45:46,PLA_30_R5,5,30,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:16,08:00,1.51,1.52,0.015,,,
16,4/15/2026,10:49:18,10:59:17,PLA_40_R1,1,40,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:18,09:59,1.54,1.55,0.017,,,
17,4/15/2026,12:09:16,12:17:28,PLA_40_R2,2,40,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:18,08:12,1.54,1.55,0.017,,,
18,4/15/2026,12:20:39,12:28:43,PLA_40_R3,3,40,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:18,08:04,1.54,1.55,0.015,,,
19,4/15/2026,12:32:18,12:40:21,PLA_40_R4,4,40,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:18,08:03,1.55,1.55,0.015,,,
20,4/15/2026,13:18:31,13:26:34,PLA_40_R5,5,40,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:18,08:03,1.54,1.55,0.016,,,
21,4/15/2026,14:51:15,14:59:26,PLA_50_R1,1,50,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:26,08:11,1.57,1.59,0.015,,,
22,4/15/2026,15:03:22,15:11:26,PLA_50_R2,2,50,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:26,08:04,1.57,1.59,0.016,,,
23,4/15/2026,15:14:37,15:22:47,PLA_50_R3,3,50,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:26,08:10,1.58,1.59,0.015,,,
24,4/15/2026,15:26:23,15:34:41,PLA_50_R4,4,50,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:26,08:18,1.57,1.59,0.015,,,
25,4/15/2026,15:38:50,15:46:59,PLA_50_R5,5,50,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:26,08:09,1.58,1.59,0.015,,,
26,4/15/2026,16:53:58,17:02:26,PLA_60_R1,1,60,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:30,08:28,1.6,1.62,0.017,,,
27,4/15/2026,17:07:07,17:15:23,PLA_60_R2,2,60,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:30,08:16,1.6,1.62,0.015,,,
28,4/15/2026,17:18:24,17:26:41,PLA_60_R3,3,60,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:30,08:17,1.6,1.62,0.017,,,
29,4/15/2026,17:30:01,17:38:17,PLA_60_R4,4,60,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:30,08:16,1.6,1.62,0.016,,,
30,4/15/2026,17:41:26,17:49:46,PLA_60_R5,5,60,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:30,08:20,1.6,1.62,0.017,,,
31,4/16/2026,08:16:39,08:25:01,PLA_70_R1,1,70,gyroid,Sunlu PLA,0.2,220,50,2,5,5,03:39,08:22,1.62,1.64,0.017,,,
